confidence,mini,standard-16,standard,nt,GTDB
CS0,0.470588235,0.4,0.3,0.193548387,0.177777778
CS0,0.285714286,0.5,0.228571429,0.096385542,0.162162162
CS0,0.5,0.8,0.470588235,0.32,0.228571429
CS0,0.8,0.888888889,1,0.32,0.258064516
CS0,0.833333333,0.909090909,0.476190476,0.37037037,0.169491525
CS0,0.571428571,0.842105263,0.347826087,0.205128205,0.192307692
CS0,0.434782609,1,0.4,0.172413793,0.158730159
CS0,0.666666667,0.888888889,0.363636364,0.140350877,0.130434783
CS0,0.571428571,0.8,0.5,0.444444444,0.170212766
CS0,0.769230769,0.857142857,0.714285714,0.380952381,0.384615385
CS0.2,0.444444444,0.266666667,0.333333333,0.307692308,0.4
CS0.2,0.666666667,1,0.769230769,0.533333333,0.857142857
CS0.2,1,1,1,0.888888889,0.8
CS0.2,1,0.888888889,1,1,0.571428571
CS0.2,1,0.909090909,1,0.909090909,0.588235294
CS0.2,1,1,0.888888889,0.8,0.625
CS0.2,0.909090909,1,0.714285714,0.714285714,0.714285714
CS0.2,0.857142857,1,1,1,0.6
CS0.2,1,1,0.888888889,1,0.666666667
CS0.2,0.909090909,1,0.833333333,0.727272727,0.666666667
CS0.4,0.444444444,0.363636364,0.363636364,0.333333333,0.470588235
CS0.4,0.6,1,0.769230769,0.615384615,0.923076923
CS0.4,1,1,1,1,0.888888889
CS0.4,1,0.888888889,1,1,0.666666667
CS0.4,1,1,1,1,0.714285714
CS0.4,1,1,0.888888889,0.888888889,0.833333333
CS0.4,0.909090909,1,0.833333333,0.833333333,0.769230769
CS0.4,0.857142857,1,1,1,0.666666667
CS0.4,1,1,0.888888889,1,0.8
CS0.4,0.909090909,1,0.909090909,0.727272727,0.666666667
CS0.6,0,0,0.363636364,0.333333333,0.571428571
CS0.6,0,0,0.769230769,0.666666667,1
CS0.6,0,0,1,1,0.888888889
CS0.6,0,0,1,1,0.8
CS0.6,0,0,1,1,0.769230769
CS0.6,0,0,0.888888889,0.888888889,0.909090909
CS0.6,0,0,0.833333333,0.833333333,0.769230769
CS0.6,0,0,1,1,0.75
CS0.6,0,0,0.888888889,1,0.8
CS0.6,0,0,0.909090909,0.727272727,0.833333333
CS0.8,0,0,0.363636364,0.333333333,0.571428571
CS0.8,0,0,0.769230769,0.666666667,0.909090909
CS0.8,0,0,1,1,0.888888889
CS0.8,0,0,1,1,0.888888889
CS0.8,0,0,1,1,0.909090909
CS0.8,0,0,0.888888889,0.888888889,0.909090909
CS0.8,0,0,0.909090909,0.833333333,0.833333333
CS0.8,0,0,1,1,0.857142857
CS0.8,0,0,0.888888889,1,0.888888889
CS0.8,0,0,0.909090909,0.727272727,0.909090909
CS1.0,0,0,0.363636364,0.333333333,0.615384615
CS1.0,0,0,0.666666667,0.666666667,0.909090909
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,0.888888889,0.888888889,1
CS1.0,0,0,0.8,0.727272727,1
CS1.0,0,0,1,1,1
CS1.0,0,0,0.888888889,1,1
CS1.0,0,0,0.909090909,0.727272727,0.909090909
