confidence,mini,standard-16,standard,nt,GTDB
CS0,0.01384083,0.043010753,0.014492754,0.021459227,0.006622517
CS0,0.053380783,0.084367246,0.035416667,0.017351598,0.013949433
CS0,0.057906459,0.206521739,0.051903114,0.095490716,0.03255814
CS0,0.154471545,0.242857143,0.18404908,0.124542125,0.045454545
CS0,0.130081301,0.19047619,0.050393701,0.121621622,0.013071895
CS0,0.073563218,0.181818182,0.026540284,0.026294166,0.014638609
CS0,0.034021871,0.197530864,0.017419706,0.015377222,0.011960133
CS0,0.085959885,0.253731343,0.047690015,0.021303258,0.021993127
CS0,0.062015504,0.197674419,0.077272727,0.109965636,0.023696682
CS0,0.173913043,0.243589744,0.184331797,0.141263941,0.053254438
CS0.2,0.131147541,0.098360656,0.069767442,0.085714286,0.027972028
CS0.2,0.789473684,0.8,0.586206897,0.620689655,0.162436548
CS0.2,0.5,0.864864865,0.301886792,0.571428571,0.106463878
CS0.2,0.863636364,0.96969697,0.842105263,0.871794872,0.131004367
CS0.2,0.62745098,0.947368421,0.596491228,0.837209302,0.106870229
CS0.2,0.666666667,0.971428571,0.430769231,0.561403509,0.116363636
CS0.2,0.530612245,0.914285714,0.283018868,0.351648352,0.109422492
CS0.2,0.769230769,0.918918919,0.484848485,0.68,0.196319018
CS0.2,0.680851064,0.971428571,0.357894737,0.542372881,0.12345679
CS0.2,0.679245283,1,0.597014925,0.76,0.162895928
CS0.4,0.177777778,0,0.089552239,0.098360656,0.048780488
CS0.4,0.6875,0.571428571,0.68,0.68,0.32
CS0.4,0.625,0.75,0.463768116,0.695652174,0.197183099
CS0.4,0.888888889,0.518518519,0.941176471,0.96969697,0.230769231
CS0.4,0.742857143,0.580645161,0.755555556,0.972972973,0.191780822
CS0.4,0.6875,0.620689655,0.585365854,0.820512821,0.192771084
CS0.4,0.5,0.482758621,0.526315789,0.592592593,0.206896552
CS0.4,0.75,0.666666667,0.571428571,0.790697674,0.329896907
CS0.4,0.6,0.571428571,0.478873239,0.820512821,0.198675497
CS0.4,0.810810811,1,0.745098039,0.974358974,0.251748252
CS0.6,0,0,0.092307692,0.101694915,0.072727273
CS0.6,0,0,0.790697674,0.755555556,0.484848485
CS0.6,0,0,0.581818182,0.8,0.318181818
CS0.6,0,0,0.941176471,0.96969697,0.348837209
CS0.6,0,0,0.864864865,1,0.254545455
CS0.6,0,0,0.631578947,0.941176471,0.304761905
CS0.6,0,0,0.638297872,0.727272727,0.342857143
CS0.6,0,0,0.717948718,0.85,0.457142857
CS0.6,0,0,0.607142857,0.864864865,0.306122449
CS0.6,0,0,0.863636364,0.974358974,0.336448598
CS0.8,0,0,0.096774194,0.101694915,0.087912088
CS0.8,0,0,0.829268293,0.85,0.666666667
CS0.8,0,0,0.711111111,0.888888889,0.474576271
CS0.8,0,0,0.941176471,0.96969697,0.517241379
CS0.8,0,0,0.914285714,1,0.358974359
CS0.8,0,0,0.685714286,0.941176471,0.457142857
CS0.8,0,0,0.769230769,0.8,0.5
CS0.8,0,0,0.8,1,0.62745098
CS0.8,0,0,0.693877551,0.888888889,0.428571429
CS0.8,0,0,0.947368421,0.972972973,0.467532468
CS1.0,0,0,0.107142857,0.107142857,0.123076923
CS1.0,0,0,0.918918919,0.8,0.857142857
CS1.0,0,0,0.810810811,0.864864865,0.777777778
CS1.0,0,0,0.941176471,0.96969697,0.75
CS1.0,0,0,0.96969697,0.971428571,0.666666667
CS1.0,0,0,0.774193548,0.96969697,0.914285714
CS1.0,0,0,0.789473684,0.914285714,0.818181818
CS1.0,0,0,0.823529412,0.9375,0.914285714
CS1.0,0,0,0.790697674,0.909090909,0.769230769
CS1.0,0,0,0.918918919,0.882352941,0.75
