sample,classify,abundance,reads,cs,database
1,classified,0.81,4028212,0,minikraken
1,unclassified,0.19,971788,0,minikraken
2,classified,0.63,3136223,0,minikraken
2,unclassified,0.37,1863779,0,minikraken
3,classified,0.65,3232204,0,minikraken
3,unclassified,0.35,1767796,0,minikraken
4,classified,0.98,4909352,0,minikraken
4,unclassified,0.02,90648,0,minikraken
5,classified,0.88,4389344,0,minikraken
5,unclassified,0.12,610656,0,minikraken
6,classified,0.87,4336288,0,minikraken
6,unclassified,0.13,663714,0,minikraken
7,classified,0.71,3554160,0,minikraken
7,unclassified,0.29,1445841,0,minikraken
8,classified,0.77,3855129,0,minikraken
8,unclassified,0.23,1144871,0,minikraken
9,classified,0.76,3795775,0,minikraken
9,unclassified,0.24,1204225,0,minikraken
10,classified,0.9,4509598,0,minikraken
10,unclassified,0.1,490402,0,minikraken
1,classified,0.52,2611628,0.2,minikraken
1,unclassified,0.48,2388372,0.2,minikraken
2,classified,0.42,2122425,0.2,minikraken
2,unclassified,0.58,2877577,0.2,minikraken
3,classified,0.39,1968729,0.2,minikraken
3,unclassified,0.61,3031271,0.2,minikraken
4,classified,0.72,3611216,0.2,minikraken
4,unclassified,0.28,1388784,0.2,minikraken
5,classified,0.62,3088531,0.2,minikraken
5,unclassified,0.38,1911469,0.2,minikraken
6,classified,0.61,3025025,0.2,minikraken
6,unclassified,0.4,1974977,0.2,minikraken
7,classified,0.43,2147336,0.2,minikraken
7,unclassified,0.57,2852665,0.2,minikraken
8,classified,0.55,2727275,0.2,minikraken
8,unclassified,0.45,2272725,0.2,minikraken
9,classified,0.48,2375706,0.2,minikraken
9,unclassified,0.52,2624294,0.2,minikraken
10,classified,0.63,3148332,0.2,minikraken
10,unclassified,0.37,1851668,0.2,minikraken
1,classified,0.01,37026,0.4,minikraken
1,unclassified,0.99,4962974,0.4,minikraken
2,classified,0.01,30511,0.4,minikraken
2,unclassified,0.99,4969491,0.4,minikraken
3,classified,0.01,27550,0.4,minikraken
3,unclassified,0.99,4972450,0.4,minikraken
4,classified,0.01,53872,0.4,minikraken
4,unclassified,0.99,4946128,0.4,minikraken
5,classified,0.01,45403,0.4,minikraken
5,unclassified,0.99,4954597,0.4,minikraken
6,classified,0.01,43015,0.4,minikraken
6,unclassified,0.99,4956987,0.4,minikraken
7,classified,0.01,29622,0.4,minikraken
7,unclassified,0.99,4970379,0.4,minikraken
8,classified,0.01,39437,0.4,minikraken
8,unclassified,0.99,4960563,0.4,minikraken
9,classified,0.01,34150,0.4,minikraken
9,unclassified,0.99,4965850,0.4,minikraken
10,classified,0.01,44209,0.4,minikraken
10,unclassified,0.99,4955791,0.4,minikraken
1,classified,0,0,0.6,minikraken
1,unclassified,1,5000000,0.6,minikraken
2,classified,0,1,0.6,minikraken
2,unclassified,1,5000001,0.6,minikraken
3,classified,0,5,0.6,minikraken
3,unclassified,1,4999995,0.6,minikraken
4,classified,0,3,0.6,minikraken
4,unclassified,1,4999997,0.6,minikraken
5,classified,0,1,0.6,minikraken
5,unclassified,1,4999999,0.6,minikraken
6,classified,0,1,0.6,minikraken
6,unclassified,1,5000001,0.6,minikraken
7,classified,0,1,0.6,minikraken
7,unclassified,1,5000000,0.6,minikraken
8,classified,0,2,0.6,minikraken
8,unclassified,1,4999998,0.6,minikraken
9,classified,0,0,0.6,minikraken
9,unclassified,1,5000000,0.6,minikraken
10,classified,0,12,0.6,minikraken
10,unclassified,1,4999988,0.6,minikraken
1,classified,0,0,0.8,minikraken
1,unclassified,1,5000000,0.8,minikraken
2,classified,0,0,0.8,minikraken
2,unclassified,1,5000002,0.8,minikraken
3,classified,0,0,0.8,minikraken
3,unclassified,1,5000000,0.8,minikraken
4,classified,0,0,0.8,minikraken
4,unclassified,1,5000000,0.8,minikraken
5,classified,0,0,0.8,minikraken
5,unclassified,1,5000000,0.8,minikraken
6,classified,0,0,0.8,minikraken
6,unclassified,1,5000002,0.8,minikraken
7,classified,0,0,0.8,minikraken
7,unclassified,1,5000001,0.8,minikraken
8,classified,0,0,0.8,minikraken
8,unclassified,1,5000000,0.8,minikraken
9,classified,0,0,0.8,minikraken
9,unclassified,1,5000000,0.8,minikraken
10,classified,0,0,0.8,minikraken
10,unclassified,1,5000000,0.8,minikraken
1,classified,0,0,1,minikraken
1,unclassified,1,5000000,1,minikraken
2,classified,0,0,1,minikraken
2,unclassified,1,5000002,1,minikraken
3,classified,0,0,1,minikraken
3,unclassified,1,5000000,1,minikraken
4,classified,0,0,1,minikraken
4,unclassified,1,5000000,1,minikraken
5,classified,0,0,1,minikraken
5,unclassified,1,5000000,1,minikraken
6,classified,0,0,1,minikraken
6,unclassified,1,5000002,1,minikraken
7,classified,0,0,1,minikraken
7,unclassified,1,5000001,1,minikraken
8,classified,0,0,1,minikraken
8,unclassified,1,5000000,1,minikraken
9,classified,0,0,1,minikraken
9,unclassified,1,5000000,1,minikraken
10,classified,0,0,1,minikraken
10,unclassified,1,5000000,1,minikraken
1,classified,1,4994399,0,standard_16
1,unclassified,0,5603,0,standard_16
2,classified,0.8,3997550,0,standard_16
2,unclassified,0.2,1002452,0,standard_16
3,classified,1,4998818,0,standard_16
3,unclassified,0,1182,0,standard_16
4,classified,1,4999164,0,standard_16
4,unclassified,0,836,0,standard_16
5,classified,1,4998068,0,standard_16
5,unclassified,0,1932,0,standard_16
6,classified,1,4997071,0,standard_16
6,unclassified,0,2931,0,standard_16
7,classified,1,4998640,0,standard_16
7,unclassified,0,1361,0,standard_16
8,classified,1,4997913,0,standard_16
8,unclassified,0,2087,0,standard_16
9,classified,1,4997423,0,standard_16
9,unclassified,0,2577,0,standard_16
10,classified,1,4996098,0,standard_16
10,unclassified,0,3902,0,standard_16
1,classified,0.55,2762437,0.2,standard_16
1,unclassified,0.45,2237565,0.2,standard_16
2,classified,0.42,2123613,0.2,standard_16
2,unclassified,0.58,2876389,0.2,standard_16
3,classified,0.55,2771348,0.2,standard_16
3,unclassified,0.45,2228652,0.2,standard_16
4,classified,0.57,2828306,0.2,standard_16
4,unclassified,0.43,2171694,0.2,standard_16
5,classified,0.55,2774001,0.2,standard_16
5,unclassified,0.45,2225999,0.2,standard_16
6,classified,0.55,2727312,0.2,standard_16
6,unclassified,0.45,2272690,0.2,standard_16
7,classified,0.56,2811906,0.2,standard_16
7,unclassified,0.44,2188095,0.2,standard_16
8,classified,0.56,2784618,0.2,standard_16
8,unclassified,0.44,2215382,0.2,standard_16
9,classified,0.54,2715060,0.2,standard_16
9,unclassified,0.46,2284940,0.2,standard_16
10,classified,0.54,2676732,0.2,standard_16
10,unclassified,0.46,2323268,0.2,standard_16
1,classified,0,11030,0.4,standard_16
1,unclassified,1,4988972,0.4,standard_16
2,classified,0,8386,0.4,standard_16
2,unclassified,1,4991616,0.4,standard_16
3,classified,0,12488,0.4,standard_16
3,unclassified,1,4987512,0.4,standard_16
4,classified,0,11689,0.4,standard_16
4,unclassified,1,4988311,0.4,standard_16
5,classified,0,11779,0.4,standard_16
5,unclassified,1,4988221,0.4,standard_16
6,classified,0,11027,0.4,standard_16
6,unclassified,1,4988975,0.4,standard_16
7,classified,0,11801,0.4,standard_16
7,unclassified,1,4988200,0.4,standard_16
8,classified,0,11505,0.4,standard_16
8,unclassified,1,4988495,0.4,standard_16
9,classified,0,11147,0.4,standard_16
9,unclassified,1,4988853,0.4,standard_16
10,classified,0,10670,0.4,standard_16
10,unclassified,1,4989330,0.4,standard_16
1,classified,0,4,0.6,standard_16
1,unclassified,1,4999998,0.6,standard_16
2,classified,0,0,0.6,standard_16
2,unclassified,1,5000002,0.6,standard_16
3,classified,0,3,0.6,standard_16
3,unclassified,1,4999997,0.6,standard_16
4,classified,0,0,0.6,standard_16
