confidence,mini,standard-16,standard,nt,GTDB
CS0,0.307692308,0.272727273,0.1875,0.111111111,0.097560976
CS0,0.19047619,0.333333333,0.142857143,0.052631579,0.088235294
CS0,0.333333333,0.666666667,0.307692308,0.19047619,0.129032258
CS0,0.666666667,1,1,0.19047619,0.148148148
CS0,0.714285714,0.833333333,0.3125,0.227272727,0.092592593
CS0,0.4,0.727272727,0.222222222,0.117647059,0.106382979
CS0,0.294117647,1,0.25,0.096153846,0.086206897
CS0,0.5,0.8,0.222222222,0.075471698,0.069767442
CS0,0.4,0.666666667,0.363636364,0.285714286,0.093023256
CS0,0.714285714,0.75,0.625,0.266666667,0.238095238
CS0.2,0.4,0.181818182,0.25,0.222222222,0.25
CS0.2,0.8,1,1,0.5,0.75
CS0.2,1,1,1,0.8,0.666666667
CS0.2,1,1,1,1,0.4
CS0.2,1,0.833333333,1,0.833333333,0.416666667
CS0.2,1,1,1,0.8,0.454545455
CS0.2,1,1,0.625,0.625,0.555555556
CS0.2,1,1,1,1,0.428571429
CS0.2,1,1,1,1,0.5
CS0.2,1,1,0.833333333,0.8,0.5
CS0.4,0.4,0.285714286,0.285714286,0.25,0.307692308
CS0.4,1,1,1,0.666666667,0.857142857
CS0.4,1,1,1,1,0.8
CS0.4,1,1,1,1,0.5
CS0.4,1,1,1,1,0.555555556
CS0.4,1,1,1,1,0.714285714
CS0.4,1,1,0.833333333,0.833333333,0.625
CS0.4,1,1,1,1,0.5
CS0.4,1,1,1,1,0.666666667
CS0.4,1,1,1,0.8,0.5
CS0.6,0,0,0.285714286,0.25,0.4
CS0.6,0,0,1,0.8,1
CS0.6,0,0,1,1,0.8
CS0.6,0,0,1,1,0.666666667
CS0.6,0,0,1,1,0.625
CS0.6,0,0,1,1,0.833333333
CS0.6,0,0,0.833333333,0.833333333,0.625
CS0.6,0,0,1,1,0.6
CS0.6,0,0,1,1,0.666666667
CS0.6,0,0,1,0.8,0.714285714
CS0.8,0,0,0.285714286,0.25,0.4
CS0.8,0,0,1,0.8,1
CS0.8,0,0,1,1,0.8
CS0.8,0,0,1,1,0.8
CS0.8,0,0,1,1,0.833333333
CS0.8,0,0,1,1,0.833333333
CS0.8,0,0,1,0.833333333,0.714285714
CS0.8,0,0,1,1,0.75
CS0.8,0,0,1,1,0.8
CS0.8,0,0,1,0.8,0.833333333
CS1.0,0,0,0.285714286,0.25,0.444444444
CS1.0,0,0,1,0.8,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,0.8,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,0.8,0.833333333
