confidence,mini,standard-16,standard,nt,GTDB
CS0,1,0.75,0.75,0.75,1
CS0,0.571428571,1,0.571428571,0.571428571,1
CS0,1,1,1,1,1
CS0,1,0.8,1,1,1
CS0,1,1,1,1,1
CS0,1,1,0.8,0.8,1
CS0,0.833333333,1,1,0.833333333,1
CS0,1,1,1,1,1
CS0,1,1,0.8,1,1
CS0,0.833333333,1,0.833333333,0.666666667,1
CS0.2,0.5,0.5,0.5,0.5,1
CS0.2,0.571428571,1,0.625,0.571428571,1
CS0.2,1,1,1,1,1
CS0.2,1,0.8,1,1,1
CS0.2,1,1,1,1,1
CS0.2,1,1,0.8,0.8,1
CS0.2,0.833333333,1,0.833333333,0.833333333,1
CS0.2,0.75,1,1,1,1
CS0.2,1,1,0.8,1,1
CS0.2,0.833333333,1,0.833333333,0.666666667,1
CS0.4,0.5,0.5,0.5,0.5,1
CS0.4,0.428571429,1,0.625,0.571428571,1
CS0.4,1,1,1,1,1
CS0.4,1,0.8,1,1,1
CS0.4,1,1,1,1,1
CS0.4,1,1,0.8,0.8,1
CS0.4,0.833333333,1,0.833333333,0.833333333,1
CS0.4,0.75,1,1,1,1
CS0.4,1,1,0.8,1,1
CS0.4,0.833333333,1,0.833333333,0.666666667,1
CS0.6,0,0,0.5,0.5,1
CS0.6,0,0,0.625,0.571428571,1
CS0.6,0,0,1,1,1
CS0.6,0,0,1,1,1
CS0.6,0,0,1,1,1
CS0.6,0,0,0.8,0.8,1
CS0.6,0,0,0.833333333,0.833333333,1
CS0.6,0,0,1,1,1
CS0.6,0,0,0.8,1,1
CS0.6,0,0,0.833333333,0.666666667,1
CS0.8,0,0,0.5,0.5,1
CS0.8,0,0,0.625,0.571428571,0.833333333
CS0.8,0,0,1,1,1
CS0.8,0,0,1,1,1
CS0.8,0,0,1,1,1
CS0.8,0,0,0.8,0.8,1
CS0.8,0,0,0.833333333,0.833333333,1
CS0.8,0,0,1,1,1
CS0.8,0,0,0.8,1,1
CS0.8,0,0,0.833333333,0.666666667,1
CS1.0,0,0,0.5,0.5,1
CS1.0,0,0,0.5,0.571428571,0.833333333
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,1,1,1
CS1.0,0,0,0.8,0.8,1
CS1.0,0,0,0.666666667,0.666666667,1
CS1.0,0,0,1,1,1
CS1.0,0,0,0.8,1,1
CS1.0,0,0,0.833333333,0.666666667,1
