confidence,mini,standard-16,standard,nt,GTDB
CS0,0.2,0.210526316,0.222222222,0.277777778,0.210526316
CS0,0.75,0.85,0.85,0.95,0.8
CS0,0.65,1,0.833333333,1,0.777777778
CS0,0.95,1,0.882352941,1,0.882352941
CS0,0.8,1,0.941176471,1,0.777777778
CS0,0.8,1,0.823529412,0.941176471,0.941176471
CS0,0.7,0.888888889,0.888888889,0.888888889,0.947368421
CS0,0.75,1,0.941176471,1,0.941176471
CS0,0.8,0.944444444,0.894736842,0.888888889,0.833333333
CS0,0.9,1,1,1,0.947368421
CS0.2,0.2,0.157894737,0.166666667,0.166666667,0.210526316
CS0.2,0.75,0.8,0.85,0.9,0.8
CS0.2,0.6,0.8,0.842105263,0.888888889,0.777777778
CS0.2,0.95,0.941176471,0.941176471,1,0.882352941
CS0.2,0.8,1,0.944444444,1,0.777777778
CS0.2,0.75,1,0.823529412,0.941176471,0.941176471
CS0.2,0.65,0.941176471,0.833333333,0.888888889,0.947368421
CS0.2,0.75,1,0.941176471,1,0.941176471
CS0.2,0.8,0.944444444,0.894736842,0.888888889,0.833333333
CS0.2,0.9,1,1,1,0.947368421
CS0.4,0.2,0,0.166666667,0.166666667,0.210526316
CS0.4,0.55,0.4,0.85,0.85,0.8
CS0.4,0.5,0.6,0.842105263,0.888888889,0.777777778
CS0.4,0.8,0.35,0.941176471,0.941176471,0.882352941
CS0.4,0.65,0.409090909,0.944444444,1,0.777777778
CS0.4,0.55,0.45,0.75,0.941176471,0.941176471
CS0.4,0.35,0.35,0.833333333,0.888888889,0.947368421
CS0.4,0.6,0.5,0.823529412,1,0.941176471
CS0.4,0.45,0.4,0.894736842,0.888888889,0.833333333
CS0.4,0.75,1,0.95,1,0.947368421
CS0.6,0,0,0.166666667,0.166666667,0.210526316
CS0.6,0,0,0.85,0.85,0.8
CS0.6,0,0,0.842105263,0.888888889,0.777777778
CS0.6,0,0,0.941176471,0.941176471,0.882352941
CS0.6,0,0,0.941176471,1,0.777777778
CS0.6,0,0,0.75,0.941176471,0.941176471
CS0.6,0,0,0.833333333,0.888888889,0.947368421
CS0.6,0,0,0.823529412,1,0.941176471
CS0.6,0,0,0.894736842,0.888888889,0.833333333
CS0.6,0,0,0.95,1,0.947368421
CS0.8,0,0,0.166666667,0.166666667,0.210526316
CS0.8,0,0,0.85,0.85,0.8
CS0.8,0,0,0.842105263,0.888888889,0.777777778
CS0.8,0,0,0.941176471,0.941176471,0.882352941
CS0.8,0,0,0.941176471,1,0.777777778
CS0.8,0,0,0.75,0.941176471,0.941176471
CS0.8,0,0,0.833333333,0.888888889,0.947368421
CS0.8,0,0,0.823529412,1,0.941176471
CS0.8,0,0,0.894736842,0.888888889,0.833333333
CS0.8,0,0,0.9,0.947368421,0.947368421
CS1.0,0,0,0.166666667,0.166666667,0.210526316
CS1.0,0,0,0.85,0.8,0.75
CS1.0,0,0,0.833333333,0.842105263,0.777777778
CS1.0,0,0,0.941176471,0.941176471,0.882352941
CS1.0,0,0,0.941176471,0.944444444,0.777777778
CS1.0,0,0,0.75,0.941176471,0.941176471
CS1.0,0,0,0.833333333,0.888888889,0.947368421
CS1.0,0,0,0.823529412,0.882352941,0.941176471
CS1.0,0,0,0.894736842,0.833333333,0.833333333
CS1.0,0,0,0.85,0.789473684,0.947368421
